TotalProfitPMM,DifferenceInIRAPMM
90.95833333,0
-37.27136353,0
66.63861709,#DIV/0!
-138.9952381,678.7308333
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
84.9,0
#DIV/0!,#DIV/0!
-306.0660548,0
102.4929167,0
-84.67967533,8.095895173
128.2337087,27.30793207
-1012.393943,0
#DIV/0!,#DIV/0!
0,#DIV/0!
#DIV/0!,#DIV/0!
-5.490411034,0
326.0258621,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
352.9946709,0
#DIV/0!,#DIV/0!
64.41628276,46.59127975
#DIV/0!,#DIV/0!
-27.81603853,0
59.03686259,-5.121703911
363.2282609,0
144.2728339,0
-99.28424608,178.992989
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
237.8992434,0
413.9137931,#DIV/0!
153.5923237,0
-50.41309524,0
342.0061798,-77.45043182
-350.0490759,-3.079456791
-201.9094393,-176.5459565
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
306.2854426,0
4689.872768,-229.1652174
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-11.29402099,0
405.1037037,0
#DIV/0!,#DIV/0!
-104.0786302,0
6.642857143,0
#DIV/0!,#DIV/0!
1587.623776,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-5.868882687,0.801114179
#DIV/0!,#DIV/0!
-4.232172619,0
417.2238806,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
57.37806622,0
22.38924791,-13.00531772
143.7559828,0
10.91666667,0
-0.139215356,29.61578042
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
24.65188023,-6.900731617
-199.1299623,0
#DIV/0!,#DIV/0!
153.3753458,0
550.8504673,0
#DIV/0!,#DIV/0!
248.6363636,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
7.023458797,12.09242395
#DIV/0!,#DIV/0!
-82.77813732,-33.20363274
385.1911667,0
-3944.315789,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
66.37632201,-55.48671437
#DIV/0!,#DIV/0!
404.4545455,0
#DIV/0!,#DIV/0!
47.33333333,0
#DIV/0!,#DIV/0!
-46.94029069,-22.04866304
-45.20634921,0
14.35355481,0
130.4835417,-143.28375
-8.121809257,-19.8366765
#DIV/0!,#DIV/0!
52.5569616,37.34673644
-4.064092656,-22.09000689
18.75884544,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
20.30961201,83.89126312
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
101.5637714,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
113.5590387,0
#DIV/0!,#DIV/0!
131.6931217,416.2547833
#DIV/0!,#DIV/0!
-7.723820995,-41.91723056
#DIV/0!,#DIV/0!
1179.333333,0
#DIV/0!,#DIV/0!
91.42514987,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
35.28083333,0
22.37696141,0
586.6325,0
#DIV/0!,#DIV/0!
47.99073093,0
#DIV/0!,#DIV/0!
-9222.105833,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-52.92981787,-4.845969516
3.050612292,-4.013072234
-179.8461538,0
35.42358079,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-94.06140445,46.93220928
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
2336.01999,0
#DIV/0!,#DIV/0!
109.4347216,66.70486596
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
56.62562814,0
24.92857143,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-81.0279686,-16.75035704
25.33333333,0
2.387902612,0
-180.8981606,0
#DIV/0!,#DIV/0!
231.5416667,0
18.65081791,111.0134605
2.649265079,0
24.54040404,0
#DIV/0!,#DIV/0!
9.429583333,0
#DIV/0!,#DIV/0!
-35.1961326,0
-26.88368805,-8.520941537
#DIV/0!,#DIV/0!
-52.61547167,-61.70430554
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
7.677335422,0
#DIV/0!,#DIV/0!
14.20605939,0
#DIV/0!,#DIV/0!
272.725576,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
3.8098875,16.70127129
133.1530837,0
#DIV/0!,#DIV/0!
222.0285714,#DIV/0!
-292.2331755,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
1418,#DIV/0!
60.4793303,0
-12.87835703,0
-19.47615027,47.04369847
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
99.79983214,0
43.12002613,0
38.78013203,-36.52330296
-10.49403346,#DIV/0!
18.06302837,7.953536016
-276.7084845,-281.7872488
119.8983527,0
44.70770785,0
#DIV/0!,#DIV/0!
1245.883222,49.11617816
-63.05771348,-7.65135433
-792.7859083,0
#DIV/0!,#DIV/0!
-11.57857763,64.78181473
#DIV/0!,#DIV/0!
46.89593568,0
#DIV/0!,#DIV/0!
-2.391596143,2.155255051
917.6779266,-43.34125188
8.35796712,#DIV/0!
#DIV/0!,#DIV/0!
-522.7602586,0
222.5128102,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
343.5710227,0
#DIV/0!,#DIV/0!
49.54801764,-24.99950747
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
212.3816176,0
#DIV/0!,#DIV/0!
6.122844857,-34.11357796
328.3466667,0
1612.362188,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
5.879936819,4.834856924
204.7455357,0
-1078.650404,0
25.65757653,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
641.4070139,0
-3.26,#DIV/0!
#DIV/0!,#DIV/0!
-144.5141467,73.44158432
142.6092933,0
#DIV/0!,#DIV/0!
286.8025339,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
50.59208333,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-58.40170057,6.485620897
-1213.75,0
-44.99553953,35.01564015
#DIV/0!,#DIV/0!
8.568601354,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
185.1683007,0
140.6169154,0
19.21166033,0
-863.6666667,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
1.000888362,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
19.16289144,-18.57088057
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-63.45682039,-64.36502838
-85.55752212,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
11.87793583,0
167.8571429,0
445.6188043,0
-213.90625,#DIV/0!
366.74625,0
274.9595687,0
#DIV/0!,#DIV/0!
580.6355072,0
-27.55109339,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
18.92993814,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
3770.428571,#DIV/0!
4.658634538,0
252.5967366,0
9.382841069,0
140.9722222,0
-368.7451756,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
27.93854438,-5.691260879
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
234.15,#DIV/0!
-69.43671642,150.3213055
-55.47091828,0
-942.3896718,-61.29570613
-4067.046056,#DIV/0!
-5.8,0
#DIV/0!,#DIV/0!
87.65791599,0
40.83985913,0.70384243
-243.4652735,6.711841991
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-1.236404363,63.12188046
#DIV/0!,#DIV/0!
-33.61035754,-40.39014192
38.25,0
211.4166667,0
-304.1018221,0
-28.46596117,0
#DIV/0!,#DIV/0!
353.36425,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
16.17159765,14.3992775
6.767759563,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
56.84999515,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
6.3664,0
-104.6321513,181.3777302
-653.8,0
-22.88497217,0
61.75,#DIV/0!
24.07414301,8.769970408
-75.52782532,-96.60122394
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-26.4361197,5.025764047
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
167.1666667,0
#DIV/0!,#DIV/0!
-10411.89811,0
-67.45916939,218.2819744
#DIV/0!,#DIV/0!
-467.1710526,0
-96.94288764,-13.2981989
-575.8301973,5.901705607
-432.6467104,25.27794155
#DIV/0!,#DIV/0!
2.31641286,136.2150584
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
13.98964596,0
13.80638889,0
1.203935599,0
#DIV/0!,#DIV/0!
190.311828,0
#DIV/0!,#DIV/0!
-101.440678,-14.46637414
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
168.8,#DIV/0!
#DIV/0!,#DIV/0!
57.30148298,-8.009524747
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-92.62695407,-80.64469568
#DIV/0!,#DIV/0!
64.75577703,0
-45.00903704,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
37.3980534,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
0,#DIV/0!
-54.31797956,8.622767058
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-10.54201766,-24.30009676
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-3.464081216,8.142652312
56,#DIV/0!
0,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-9.844610413,32.64093057
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
53.18936416,0
192.1114064,0
#DIV/0!,#DIV/0!
13.75733967,0
#DIV/0!,#DIV/0!
9.852544346,0
0,#DIV/0!
#DIV/0!,#DIV/0!
-36.11715487,33.18120257
-89.2365146,-3.938487738
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-4.508761658,-0.699375188
956.1764706,#DIV/0!
4.283660131,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-3.781273597,13.42022984
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
114.2019704,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-1004.23569,-9.303939479
117.7244681,#DIV/0!
-78.71321696,36.64633207
32.24514875,0.48913453
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
54.80968228,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-2.332747109,-34.23930401
158.7350766,0
82.28985216,0
-50.34150333,0
6375.773965,0
79.1083618,0
104.1028495,0
-11042.18182,#DIV/0!
150.8142924,-39.96414217
-29.62,#DIV/0!
-77.9200429,-15.47497578
-11.90093111,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
75.04966569,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
372.8366957,0
559.195,#DIV/0!
-81.29009607,-1.352718249
-101.1366408,4.58912095
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
5.628916083,0
178.7258162,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-49.80519731,7.865004224
76.3384252,-333.5850913
#DIV/0!,#DIV/0!
-7078.095208,0
#DIV/0!,#DIV/0!
7.82345191,0
#DIV/0!,#DIV/0!
2.728354978,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
199.3918896,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-29.22033126,0
#DIV/0!,#DIV/0!
147.6779661,0
-1129.727273,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
36.5046729,0
668.8923827,12.41701917
-498.3787337,-52.71651028
10.14781793,#DIV/0!
-52.06337136,0
#DIV/0!,#DIV/0!
23.67694854,51.73353536
#DIV/0!,#DIV/0!
169.1854802,11.84621973
#DIV/0!,#DIV/0!
43.43267077,0
1.121212121,0
169.0545455,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-82.75476322,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
11.54357592,0
724.2898551,0
#DIV/0!,#DIV/0!
-1093.547129,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
1.587772646,-78.92639058
-71.72540323,119.021097
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-2304.720588,113.8710471
#DIV/0!,#DIV/0!
-26.64787366,-1.508959964
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
100.3256338,19.82940812
4.653057426,#DIV/0!
124.5204819,0
830.5862163,4.788521021
34.99456232,-2.052175371
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
211.8,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-1.781617991,-10.3376926
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-21.99457143,0
-86.75213796,-35.57041772
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
23.72900493,-10.18830734
-15.50174565,12.01642177
15.21909862,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-254.9635605,169.4611473
#DIV/0!,#DIV/0!
-228.2275693,0
#DIV/0!,#DIV/0!
-44.48306998,-144.6674195
#DIV/0!,#DIV/0!
-142.1878601,-22.085
35.5197494,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
624.8125,0
-100.0519556,13.87771135
#DIV/0!,#DIV/0!
516.8983333,0
81.12663137,2.633890494
21.06997085,0
#DIV/0!,#DIV/0!
96.42880187,0
-637.3292633,0
-21.57777778,0
-30.48378421,0
-5.74289105,12.44013304
40.51374705,0
6.142168675,0
277.5324088,0
-39.25471811,-1.879343458
14.84773084,38.26210221
220.5273916,0
-250.7703349,0
-2346.322261,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-42.01138611,43.60184122
2.448012763,0
-26.06,0
-391.5019231,42.39743827
46.81983624,-1.186752073
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
13.8825,0
20.76518586,0
241.0144444,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-164.6363636,#DIV/0!
-65.49399435,-3.777096513
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
15.33427833,20.18626948
221.4166667,0
44.55466862,19.36771659
1890.482541,158.3188178
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
235.3070504,0
274.9345136,188.1152917
47.11408872,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-603.0472524,222.0730632
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
16.36658814,0
109.4582547,0
269.6640976,0
-48.58809771,-9.754409236
27.59752483,0
5.384411111,0
134.7218685,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-121.2147563,0
#DIV/0!,#DIV/0!
33.75,0
-5.472360627,-12.66779324
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
90.11884808,0
-33.62891506,-87.19784783
#DIV/0!,#DIV/0!
0,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-4.874000182,0
71.96727749,0
1242,#DIV/0!
1.265306122,152.8493181
-86.13756614,41.29133285
#DIV/0!,#DIV/0!
152.0688525,0
#DIV/0!,#DIV/0!
58.60559758,9.950466242
-3404.830769,0
#DIV/0!,#DIV/0!
-39.4390625,0
#DIV/0!,#DIV/0!
-2391.2031,0
43.25,0
51.7898829,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
56.08193873,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-134.1915429,-32.61296471
70.50258293,0
-214.7733624,-365.2909795
#DIV/0!,#DIV/0!
108.9761905,0
-186.2134826,0
-197.7650137,49.67646752
-76.96205962,0
0,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
109.2176087,0
1331.832423,#DIV/0!
-510.4133333,0
-66.27777778,0
#DIV/0!,#DIV/0!
93.13448014,0
0.91025641,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-24.73572512,73.67486878
-159.395,#DIV/0!
#DIV/0!,#DIV/0!
-46.28339845,4.657817431
-287.9962073,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-34.8,0
-23.28968724,-38.64349889
#DIV/0!,#DIV/0!
-28.91654315,112.5111859
-7389.146987,0
0.017524644,0
#DIV/0!,#DIV/0!
-38.14022441,#DIV/0!
#DIV/0!,#DIV/0!
73.39768494,-95.80149802
375.9731544,0
#DIV/0!,#DIV/0!
-13.36059998,10.03706662
#DIV/0!,#DIV/0!
-17.09628242,-33.21407742
15.9968321,-2.46672855
498.6558333,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
121.3160417,19.49130255
142.4957945,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-2400.054,1305.7125
-316.5709339,0
#DIV/0!,#DIV/0!
30.65957447,0
-472.1003577,0
#DIV/0!,#DIV/0!
1.972222222,0
#DIV/0!,#DIV/0!
197.5924507,-11.96212184
#DIV/0!,#DIV/0!
-162.0254267,-18.31695892
-280.6404271,-108.7103028
107.3789209,0
556.375,0
173.3864458,0
52.34782609,0
-127.4016676,#DIV/0!
-177.0630464,203.3960889
-14424.68833,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
15.2436376,0
-244.9214583,18.67333345
30.50884098,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
156.4613003,0
17.08164594,59.82707327
38.14736018,-4.13334374
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
26.21226593,-25.69663491
-2660.166667,59.37675935
-70.80455715,-37.11913373
#DIV/0!,#DIV/0!
21.8830914,-2.080438833
#DIV/0!,#DIV/0!
147.8566006,0
#DIV/0!,#DIV/0!
0.673635308,0
#DIV/0!,#DIV/0!
22.7031869,0
-198.7916966,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-231.8942278,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
29.18092024,-18.88910884
96.06858952,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
2.388349515,0
220.6474107,0
28.45616524,-13.01330765
-641.0053315,0
-166.906614,-2.45599296
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-675.7377049,#DIV/0!
-2016.473633,0
7.850533808,-0.445271745
-274.2819383,0
#DIV/0!,#DIV/0!
371.2733333,38.52913629
#DIV/0!,#DIV/0!
19.82022817,-20.143722
-194.5618841,84.28022324
0,0
-70.23450407,-78.11266601
-566.4584553,-10.08936969
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
57.33067204,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
7.219894054,0
-9166.333999,0
99.5627685,0
104.1485714,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-27.67339859,-9.431882051
-382.7263514,0
#DIV/0!,#DIV/0!
17.65342298,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-120.229798,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
1351.193333,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-516.0756667,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-124.4516368,11.16026022
72.94171905,-0.189327577
147.6476894,#DIV/0!
1.557325887,0
-57.20781697,0
-50377.99612,0
-240.1666667,#DIV/0!
8.281256884,27.32137961
#DIV/0!,#DIV/0!
131.4708673,0
6.564349623,0
397.8698166,#DIV/0!
14.56572587,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
96.6738288,0.191476884
#DIV/0!,#DIV/0!
20.48148148,0
120.0347072,0
104.2416069,0
#DIV/0!,#DIV/0!
47.71428571,#DIV/0!
639.080412,#DIV/0!
221.4630699,0
#DIV/0!,#DIV/0!
-67.97904034,-43.71687945
-296.9883485,50.57594136
#DIV/0!,#DIV/0!
45.28490085,-2.460020727
#DIV/0!,#DIV/0!
29.1180388,0
-336.0694937,569.3392816
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
135.8939013,0
-36.59545954,-59.25998566
#DIV/0!,#DIV/0!
148.51514,0
-58.70401297,-7.943700404
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-4565.583067,0
15.79166667,0
-11.15521443,0
57.75,0
393,0
#DIV/0!,#DIV/0!
1253.7125,0
-16060.49061,0
#DIV/0!,#DIV/0!
112.6333226,0
-205,0
-43.52193387,-25.35024671
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
134.3695652,#DIV/0!
6,#DIV/0!
-152.1786826,0
-2234.239189,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-104.0859284,203.7320927
-114.4220376,25.21225649
-19.30226668,4.093043444
-14.3652968,0
#DIV/0!,#DIV/0!
-208.93,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
12.73559662,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
20.8281782,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-108.4344986,-6.450297755
#DIV/0!,#DIV/0!
191.0475232,0
4.008462911,0
444.9943388,0
#DIV/0!,#DIV/0!
-3762.608462,0
-26.98733408,5.882031074
83.50432526,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
219.1091508,0
#DIV/0!,#DIV/0!
-257.4166667,0
4.14834115,0
104.3716931,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-105.3309869,#DIV/0!
0.319646398,-7.221202045
141.695609,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-23.74681239,0
30.4230462,0
0.606060606,0
-28.87165273,0
45.67742454,0
338.8918919,0
#DIV/0!,#DIV/0!
42.76445202,26.83915828
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
7.549998905,19.65415318
-193.6048283,-14.00256682
#DIV/0!,#DIV/0!
28.97222222,0
338.6376239,0
#DIV/0!,#DIV/0!
-17.41953079,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
161.9036139,-0.532582439
-3.747754569,-265.6752974
0.125373134,0
#DIV/0!,#DIV/0!
51.32667938,#DIV/0!
#DIV/0!,#DIV/0!
-0.416184971,0
-318.8119891,23.23628049
-193.5714286,#DIV/0!
832,#DIV/0!
#DIV/0!,#DIV/0!
12.31490242,0
178.5152885,20.3700443
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
10.25,0
#DIV/0!,#DIV/0!
-868.037381,78.78747436
121.75,0
#DIV/0!,#DIV/0!
58.21848274,-90.73800162
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
24.85935764,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
244.4417363,0
175.1145913,0
133.7195986,#DIV/0!
#DIV/0!,#DIV/0!
36.2585187,-26.08903016
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
206.2732313,0
-78.32184829,-2.143753818
-20.48611111,0
#DIV/0!,#DIV/0!
273.7348026,0
653.3333333,#DIV/0!
-1299.503182,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-1437.166667,0
-9.585066667,#DIV/0!
287.0179075,-52.23373007
211.585,#DIV/0!
-355.4318937,-1509.968412
1.245199409,0
#DIV/0!,#DIV/0!
-32.57899615,20.56424139
36.30152204,0
27.79847681,-8.191572097
7.777915042,-5.53352897
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
1117.266667,-29.81413683
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
6.692486183,-31.93600619
54.64676762,0
#DIV/0!,#DIV/0!
37.77380952,0
219.2355347,#DIV/0!
0.54147619,0
25.63724138,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
56.23190458,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-111.330692,-371.5338876
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-211.8311179,#DIV/0!
#DIV/0!,#DIV/0!
-19.02521284,150.6657176
-316.5046208,35.50148472
#DIV/0!,#DIV/0!
13.61297527,0
-61.60531993,2.871135401
-174.1624815,0
1759.2,#DIV/0!
-4.261443862,0
#DIV/0!,#DIV/0!
17.24071016,0
2.006121134,0
#DIV/0!,#DIV/0!
-56.09607713,-21.68497681
#DIV/0!,#DIV/0!
140.7718627,0
-2.404536659,-8.202778226
330.3508219,0
-34.92294697,0
94.81916128,-6091.682126
