TotalProfitPMM,DifferenceInIRAPMM
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
2.543806247,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
131.7547885,0
-39.12087349,0
#DIV/0!,#DIV/0!
-240.5129843,54.12104098
2.622394074,29.47263559
-134.8851135,38.89876433
2.412601396,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
70.30992381,0
-95.04056231,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
122.0958545,0
-18.40505333,0
-101.0838788,0
42.80118055,-11.3497518
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
11.59775641,0
86.44444444,0
#DIV/0!,#DIV/0!
-15.92118433,-0.285760938
3.166666667,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-5.510072822,16.44276143
421.6666667,#DIV/0!
#DIV/0!,#DIV/0!
57.40935087,3.949868477
-54.00850149,188.6877441
2.25,0
-41.06222222,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-7.001526328,-18.08660764
4.61558669,0
-24.44736842,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
117.2100288,0
#DIV/0!,#DIV/0!
-25.74440645,-14.118453
-100.8008829,-66.07441137
-7.816810326,56.45350042
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-643.0062354,-222.6009994
17.3285766,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-69.77802634,-7.899147501
125.7443327,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
7.379155802,-36.13554764
-1431.078542,0
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
#DIV/0!,#DIV/0!
-178.5457377,136.5973988
15.86257102,0
#DIV/0!,#DIV/0!
238.1533714,0
